Name,SpellId,Url,Hint
Aerlinthe,2041,https://acportalstorm.com/wiki/Lady_Aerfalle_Quest,Complete Lady Aerfalle quest
Aphus Lassel,2931,https://acportalstorm.com/wiki/The_Legend_of_the_Tusker_Paw,Complete The Legend of the Tusker Paw quest
Bur,4084,https://acportalstorm.com/wiki/Bur_Recall_Quest,Complete Bur Recall quest
Candeth Keep,4214,https://acportalstorm.com/wiki/Scepter_of_the_Portal_Currents,Complete Scepter of the Portal Currents quest then turn in scepter for recall spell
Colosseum,4213,https://acportalstorm.com/wiki/Colosseum,Buy from Colosseum for 5 colo coins
Facility Hub,5175,https://acportalstorm.com/wiki/Facility_Hub,Hand the yellow Facility Hub Gem back to any Society Agent that gave it to you for recall spell
Gear Knight Invasion Area,5330,https://acportalstorm.com/wiki/Scroll_of_Gear_Knight_Invasion_Area_Camp_Recall,Buy from Gear Knight Invasion Area for 5 ornate gear markers
Glenden Wood,3865,https://acportalstorm.com/wiki/Glenden_Wood_Invaders,Complete Glenden Wood Invaders quest then turn in recall orb for recall spell
Graveyard,4128,https://acportalstorm.com/wiki/Graveyard,Buy from Graveyard during night time for 5 ancient mhoire coins
Mount Lethe,2813,https://acportalstorm.com/wiki/Water_of_Mount_Lethe,Complete Water of Mount Lethe quest
Neftet,5541,https://acportalstorm.com/wiki/Scroll_of_Lost_City_of_Neftet_Recall,Buy from Neftet for 10 a'nekshay tokens
Olthoi North,4198,https://acportalstorm.com/wiki/Paradox-touched_Valley,Buy from Olthoi North for 5 small venom sacs
Rynthid,6150,https://acportalstorm.com/wiki/Rynthid_Foothold,Complete Rynthid Foothold quest
Sanctuary,2023,https://acportalstorm.com/wiki/The_Healer%27s_Heart_Quest,Complete The Healer's Heart Quest (requires lockpick)
Singularity Caul,2943,https://acportalstorm.com/wiki/Singularity_Recall,Complete Singularity Recall quest (requires lockpick)
Society: Celestial Hand,6325,https://acportalstorm.com/wiki/Scroll_of_Celestial_Hand_Recall,Win 10 victories in the Gauntlet
Society: Eldrytch Web,6326,https://acportalstorm.com/wiki/Scroll_of_Eldrytch_Web_Recall,Win 10 victories in the Gauntlet
Society: Radiant Blood,6327,https://acportalstorm.com/wiki/Scroll_of_Radiant_Blood_Recall,Win 10 victories in the Gauntlet
Ulgrim (Ayan Baqur),2941,https://acportalstorm.com/wiki/Ulgrim%27s_Scroll,Very low droprate from Shallows Devourers
Viridian Rise,6321,https://acportalstorm.com/wiki/Viridian_Rise,Complete Viridian Rise and turn in 100 infused amber shards for a small chance at this recall spell
Viridian Rise Tree,6322,https://acportalstorm.com/wiki/Viridian_Rise,Complete Viridian Rise and turn in 100 infused amber shards for a small chance at this recall spell
