QuestFlag,Server,Verified Conquest,Verified Levistras,Quest,Url,Info,Hint,Repeatable
123qbformenotthee,Conquest,Verified,,,,123Qbformenotthee,123Qbformenotthee,FALSE
30minattributes,,Verified,Verified,Attribute and Skill Redistribution,https://acportalstorm.com/wiki/Attribute_and_Skill_Redistribution,30 Minutes to pick up Attribute Gems. See Chafulumisa; Warden of Lowering Focus; Warden of Lowering Quickness (among others).,Speak with Guardian of the Temple of Enlightenment Temple of Enlightenment 84.5S 0.0E - Speak with Guardian of the Temple of Forgetfulness Temple of Forgetfulness 88.8N 0.0E - Speak with Fianhe Asheron's Castle - Speak with Chafulumisa Asheron's Castle,FALSE
50to11brokercontractsa,,Verified,Verified,Broker Contracts,https://acportalstorm.com/wiki/Broker_Contracts,Tracks which quests have been completed for Contract Brokers quest. See Lord Kresovus; Shade of Farelaith; Ufet; Prophet of Blades.,Tracks which quests have been completed for Contract Brokers quest. See Lord Kresovus - Shade of Farelaith - Ufet - Prophet of Blades.,TRUE
50to11brokercontractsb,,Verified,Verified,Broker Contracts,https://acportalstorm.com/wiki/Broker_Contracts,Tracks which quests have been completed for Contract Brokers quest.,Tracks which quests have been completed for Contract Brokers quest.,TRUE
50to11contractscomplete_0511,,Verified,Verified,Broker Contracts,https://acportalstorm.com/wiki/Broker_Contracts,Complete contracts from the Contract Brokers for extra rewards. See Gawain Cooper; Abd-al-Matin Basshir; Ohayashi Hiroshi (among others).,Complete contracts from the Contract Brokers for extra rewards. See Gawain Cooper - Abd-al-Matin Basshir - Ohayashi Hiroshi (among others).,FALSE
aaccacidaxepickup,Levistras,,Verified,Picked up an Acid Axe from Suntik,,,,
aaccacidaxeturnin,Levistras,,Verified,Turned in an Acid Axe to Omaro Nagate,,,,
aaccacidgreataxepickup,Levistras,,Verified,Picked up an Acid Greataxe from Suntik,,,,
aaccacidgreataxeturnin,Levistras,,Verified,Turned in an Acid Greataxe to Omaro Nagate,,,,
aaccacidspikedclubpickup,Levistras,,Verified,Picked up an Acid Spiked Club from Suntik,,,,
aaccacidspikedclubturnin,Levistras,,Verified,Turned in an Acid Spiked Club to Omaro Nagate,,,,
aaccacidtofunpickup,Levistras,,Verified,Picked up an Acid Tofun from Suntik,,,,
